id,incident_date,incident_time,reporting_channel,follow_up_status,is_anonymous,created_at,updated_at,location,incident_type,severity_level,victim_age,victim_gender,perpetrator_relationship,support_provided,notes,is_acknowledged,acknowledged_at,last_verified_location,location_confidence,location_source,latitude,location_accuracy,longitude,reporter_type
1,1/1/2025,15:45,Hotline,Ongoing,TRUE,1/2/2025 17:00,1/3/2025 8:00,Lagos,Domestic Violence,High,18,Female,Stranger,Counseling,"This has been happening for two years. I finally found the courage to report. He controls everything — money, movement. I need support to leave.",TRUE,1/2/2025 22:00,Lagos,low,manual_entry,6.511854,381.4,3.424271,victim
2,1/2/2025,9:49,Hotline,Closed,TRUE,1/3/2025 4:00,1/3/2025 9:00,Abuja,Domestic Violence,Medium,50,Female,Colleague,Counseling,"This has been happening for two years. I finally found the courage to report. He controls everything — money, movement. I need support to leave.",TRUE,1/3/2025 5:00,Abuja,low,manual_entry,9.099699,277.4,7.408466,victim
3,1/3/2025,11:54,Hotline,Closed,TRUE,1/3/2025 13:00,1/6/2025 11:00,Abeokuta,Domestic Violence,High,62,Female,Stranger,Legal Aid,My husband threatened to kill me if I told anyone. I have bruises on my arms and face. I left the house with my children and I need help urgently.,TRUE,1/4/2025 3:00,Abeokuta,medium,manual_entry,7.113102,414.2,3.327499,victim
4,1/3/2025,14:20,Dashboard,Closed,FALSE,1/4/2025 21:00,1/7/2025 4:00,Lagos,Domestic Violence,Medium,43,Male,Stranger,Legal Aid,I live next door and I can hear screaming almost every night. Tonight I saw her running out with blood on her face. I called for help on her behalf.,TRUE,1/5/2025 8:00,Lagos,high,gps,6.480208,28.9,3.415818,bystander
5,1/4/2025,5:21,Mobile App,Ongoing,FALSE,1/4/2025 6:00,1/6/2025 7:00,Abuja,Domestic Violence,Medium,20,Female,Stranger,Medical Care,"He threw me against the wall and broke my phone. I borrowed a neighbour's phone to report. I cannot go back home, it is not safe.",TRUE,1/4/2025 12:00,Abuja,high,gps,9.086612,23.2,7.419407,victim
6,1/5/2025,2:48,Hotline,Closed,FALSE,1/5/2025 6:00,1/8/2025 5:00,Jos,Harassment,Medium,45,Female,Employer,Shelter,My supervisor has been making inappropriate comments about my body for weeks. Today he touched me without my consent. I feel unsafe at work.,TRUE,1/5/2025 16:00,Jos,medium,manual_entry,9.848558,309.8,8.905291,victim
7,1/5/2025,12:07,Dashboard,Ongoing,FALSE,1/6/2025 19:00,1/8/2025 1:00,Kano,Domestic Violence,High,28,Female,Teacher,Shelter,I witnessed the man beating his wife in the compound. She fell down. She told me not to report but I am very worried about her safety.,FALSE,,Kano,high,gps,12.035444,26.7,8.563234,bystander
8,1/5/2025,18:24,Hotline,Closed,FALSE,1/6/2025 6:00,1/8/2025 5:00,Jos,Domestic Violence,High,68,Female,Stranger,Shelter,"This has been happening for two years. I finally found the courage to report. He controls everything — money, movement. I need support to leave.",TRUE,1/6/2025 12:00,Jos,low,manual_entry,9.864682,351.6,8.82664,victim
9,1/6/2025,6:34,Hotline,Closed,FALSE,1/7/2025 17:00,1/8/2025 15:00,Bauchi,Child Abuse,Critical,55,Female,Employer,Counseling,I work at a clinic. A child was brought in with injuries that are inconsistent with the story the adult gave. I suspect the child is being abused.,TRUE,1/8/2025 11:00,Bauchi,low,manual_entry,10.296224,258,9.846676,bystander
10,1/7/2025,12:37,Community Center,Closed,TRUE,1/7/2025 15:00,1/9/2025 9:00,Port Harcourt,Domestic Violence,High,9,Female,Colleague,Medical Care,I witnessed the man beating his wife in the compound. She fell down. She told me not to report but I am very worried about her safety.,TRUE,1/7/2025 17:00,Port Harcourt,low,manual_entry,4.808795,412.3,7.028923,bystander
